2025-05-03 17:20:11,635 | INFO | pipeline.py:110 | Splitting features and target
2025-05-03 17:20:11,647 | INFO | pipeline.py:110 | Splitting features and target
2025-05-03 17:20:11,661 | INFO | 617186421.py:4 | XGBoost modeli eðitiliyor...
2025-05-03 17:20:11,662 | INFO | base_model.py:29 | Initialized xgboost model
2025-05-03 17:20:11,662 | INFO | xgboost.py:31 | Training XGBoost model with 68235 samples
2025-05-03 17:20:13,608 | INFO | xgboost.py:63 | XGBoost model training completed
2025-05-03 17:20:13,611 | INFO | xgboost.py:71 | Making predictions on 68235 samples
2025-05-03 17:20:13,746 | INFO | xgboost.py:71 | Making predictions on 56962 samples
2025-05-03 17:29:48,535 | INFO | pipeline.py:110 | Splitting features and target
2025-05-03 17:29:48,542 | INFO | pipeline.py:110 | Splitting features and target
2025-05-03 17:29:48,557 | INFO | 617186421.py:4 | XGBoost modeli eðitiliyor...
2025-05-03 17:29:48,557 | INFO | 617186421.py:4 | XGBoost modeli eðitiliyor...
2025-05-03 17:29:48,558 | INFO | base_model.py:29 | Initialized xgboost model
2025-05-03 17:29:48,558 | INFO | xgboost.py:31 | Training XGBoost model with 68235 samples
2025-05-03 17:29:50,359 | INFO | xgboost.py:63 | XGBoost model training completed
2025-05-03 17:29:50,364 | INFO | xgboost.py:71 | Making predictions on 68235 samples
2025-05-03 17:29:50,473 | INFO | xgboost.py:71 | Making predictions on 56962 samples
2025-05-03 17:29:50,805 | INFO | 2513198323.py:2 | XGBoost modeli eðitiliyor...
2025-05-03 17:29:50,805 | INFO | 2513198323.py:2 | XGBoost modeli eðitiliyor...
2025-05-03 17:29:50,806 | INFO | base_model.py:29 | Initialized xgboost model
2025-05-03 17:29:50,806 | INFO | xgboost.py:31 | Training XGBoost model with 68235 samples
2025-05-03 17:29:52,602 | INFO | xgboost.py:63 | XGBoost model training completed
2025-05-03 17:29:52,613 | INFO | xgboost.py:71 | Making predictions on 68235 samples
2025-05-03 17:29:52,734 | INFO | xgboost.py:71 | Making predictions on 56962 samples
2025-05-03 17:29:52,836 | INFO | xgboost.py:71 | Making predictions on 56962 samples
2025-05-03 17:29:53,649 | INFO | 3346838185.py:1 | Lojistik Regresyon modeli eðitiliyor...
2025-05-03 17:29:53,649 | INFO | 3346838185.py:1 | Lojistik Regresyon modeli eðitiliyor...
2025-05-03 17:29:53,650 | INFO | base_model.py:29 | Initialized logistic_regression model
2025-05-03 17:29:53,650 | INFO | logistic_regression.py:36 | Training Logistic Regression model with 68235 samples
2025-05-03 17:29:54,337 | INFO | logistic_regression.py:39 | Logistic Regression model training completed
2025-05-03 17:29:54,338 | INFO | logistic_regression.py:47 | Making predictions on 68235 samples
2025-05-03 17:29:54,358 | INFO | logistic_regression.py:55 | Making probability predictions on 68235 samples
2025-05-03 17:29:54,391 | INFO | logistic_regression.py:47 | Making predictions on 56962 samples
2025-05-03 17:29:54,408 | INFO | logistic_regression.py:55 | Making probability predictions on 56962 samples
2025-05-03 17:29:54,958 | WARNING | pipeline.py:160 | Model doesn't have feature_importances_ attribute
2025-05-03 17:49:54,385 | INFO | pipeline.py:110 | Splitting features and target
2025-05-03 17:49:54,392 | INFO | pipeline.py:110 | Splitting features and target
2025-05-03 17:49:54,407 | INFO | 617186421.py:4 | XGBoost modeli eðitiliyor...
2025-05-03 17:49:54,407 | INFO | 617186421.py:4 | XGBoost modeli eðitiliyor...
2025-05-03 17:49:54,407 | INFO | 617186421.py:4 | XGBoost modeli eðitiliyor...
2025-05-03 17:49:54,409 | INFO | base_model.py:29 | Initialized xgboost model
2025-05-03 17:49:54,409 | INFO | xgboost.py:31 | Training XGBoost model with 68235 samples
2025-05-03 17:49:56,186 | INFO | xgboost.py:63 | XGBoost model training completed
